GEOSTAT_gr;GRD_ID;kolej;10km;15km;20km
48;1kmN3071E4920;;;;
169;1kmN3072E4920;1;;;
146;1kmN3074E4920;;;;
411;1kmN3079E4920;;;;
57;1kmN3064E4921;;;;
24;1kmN3065E4921;;;;
324;1kmN3067E4921;;;;
15;1kmN3068E4921;;;;
30;1kmN3070E4921;;;;0
5;1kmN3071E4921;;;;
3;1kmN3072E4921;1;;;
147;1kmN3074E4921;;;;
119;1kmN3075E4921;;;;
69;1kmN3079E4921;;;;
251;1kmN3053E4922;;;;
10;1kmN3058E4922;;;;
54;1kmN3059E4922;;;;
186;1kmN3060E4922;;;0;
226;1kmN3064E4922;;;;
253;1kmN3065E4922;;;;
148;1kmN3066E4922;;;;
142;1kmN3068E4922;;;;
163;1kmN3069E4922;;;;
57;1kmN3072E4922;1;;;
27;1kmN3073E4922;;;;
40;1kmN3074E4922;;;;
2;1kmN3075E4922;;;;
113;1kmN3045E4923;;;;
5;1kmN3046E4923;;;;
167;1kmN3047E4923;;;;
137;1kmN3050E4923;;;;
75;1kmN3051E4923;;;;
199;1kmN3053E4923;;;;
23;1kmN3054E4923;;;;
81;1kmN3058E4923;;;;
455;1kmN3059E4923;;;;
7;1kmN3060E4923;;;;
240;1kmN3064E4923;;;0;
61;1kmN3066E4923;;;;
3;1kmN3067E4923;;;;
115;1kmN3068E4923;;;;
178;1kmN3071E4923;1;;;0
72;1kmN3072E4923;1;;;0
129;1kmN3073E4923;;;;
48;1kmN3074E4923;;;;
192;1kmN3075E4923;;;;
149;1kmN3076E4923;;;;
5;1kmN3081E4923;;;;
2;1kmN3082E4923;;;;
66;1kmN3037E4924;;;;
20;1kmN3038E4924;;;;
16;1kmN3039E4924;;;;
4;1kmN3040E4924;;;;0
5;1kmN3041E4924;;;;
113;1kmN3042E4924;;;;
67;1kmN3043E4924;;;;
90;1kmN3045E4924;;;;
441;1kmN3047E4924;;;0;
119;1kmN3048E4924;;;0;
20;1kmN3054E4924;;;;5
407;1kmN3055E4924;;;;5
227;1kmN3056E4924;;;;5
31;1kmN3058E4924;;;;5
323;1kmN3059E4924;;;;5
3;1kmN3062E4924;1;;;5
198;1kmN3070E4924;;;;
106;1kmN3071E4924;1;;;
558;1kmN3072E4924;;;;0
2172;1kmN3073E4924;;;;
253;1kmN3079E4924;;;;
246;1kmN3080E4924;;;;
849;1kmN3030E4925;;;;
313;1kmN3031E4925;;;;
33;1kmN3032E4925;;;;
389;1kmN3033E4925;;;;
1567;1kmN3034E4925;;;;
75;1kmN3035E4925;;;;
8;1kmN3036E4925;;;;
875;1kmN3037E4925;;;;
127;1kmN3038E4925;;;;
395;1kmN3039E4925;;;;0
126;1kmN3040E4925;;;;0
4;1kmN3041E4925;;;;
38;1kmN3042E4925;;;;
86;1kmN3048E4925;;;;
73;1kmN3049E4925;;;;
63;1kmN3050E4925;;;;5
70;1kmN3055E4925;;;;
6;1kmN3056E4925;;;;
5;1kmN3059E4925;;;;
28;1kmN3061E4925;;;;
24;1kmN3064E4925;;;;5
35;1kmN3065E4925;;;;5
65;1kmN3066E4925;;;0;5
183;1kmN3070E4925;1;;;
80;1kmN3071E4925;1;;;
276;1kmN3072E4925;;;;0
