GRD_ID,GEOSTAT_gr,GEOSTAT__1,GEOSTAT__2,GEOSTAT__3,GEOSTAT__4,GEOSTAT__5,prznagl,kolej,10km,15km,20km
1kmN3071E4920,48,PL,A,2011,PL,0,,,,,
1kmN3072E4920,169,PL,A,2011,PL,0,,1,,,
1kmN3074E4920,146,PL,A,2011,PL,0,,,,,
1kmN3079E4920,411,PL,A,2011,PL,0,,,,,
1kmN3064E4921,57,PL,A,2011,PL,0,,,,,
1kmN3065E4921,24,PL,A,2011,PL,0,,,,,
1kmN3067E4921,324,PL,A,2011,PL,0,,,,,
1kmN3068E4921,15,PL,A,2011,PL,0,,,,,
1kmN3070E4921,30,PL,A,2011,PL,0,,,,,0
1kmN3071E4921,5,PL,A,2011,PL,0,,,,,
1kmN3072E4921,3,PL,A,2011,PL,0,,1,,,
1kmN3074E4921,147,PL,A,2011,PL,0,,,,,
1kmN3075E4921,119,PL,A,2011,PL,0,,,,,
1kmN3079E4921,69,PL,A,2011,PL,0,,,,,
1kmN3053E4922,251,PL,A,2011,PL,0,,,,,
1kmN3058E4922,10,PL,A,2011,PL,0,,,,,
1kmN3059E4922,54,PL,A,2011,PL,0,,,,,
1kmN3060E4922,186,PL,A,2011,PL,0,,,,0,
1kmN3064E4922,226,PL,A,2011,PL,0,,,,,
1kmN3065E4922,253,PL,A,2011,PL,0,,,,,
1kmN3066E4922,148,PL,A,2011,PL,0,,,,,
1kmN3068E4922,142,PL,A,2011,PL,0,,,,,
1kmN3069E4922,163,PL,A,2011,PL,0,,,,,
1kmN3072E4922,57,PL,A,2011,PL,0,,1,,,
1kmN3073E4922,27,PL,A,2011,PL,0,,,,,
1kmN3074E4922,40,PL,A,2011,PL,0,,,,,
1kmN3075E4922,2,PL,A,2011,PL,0,,,,,
1kmN3045E4923,113,PL,A,2011,PL,0,,,,,
1kmN3046E4923,5,PL,A,2011,PL,0,,,,,
1kmN3047E4923,167,PL,A,2011,PL,0,,,,,
1kmN3050E4923,137,PL,A,2011,PL,0,,,,,
1kmN3051E4923,75,PL,A,2011,PL,0,,,,,
1kmN3053E4923,199,PL,A,2011,PL,0,,,,,
1kmN3054E4923,23,PL,A,2011,PL,0,,,,,
1kmN3058E4923,81,PL,A,2011,PL,0,,,,,
1kmN3059E4923,455,PL,A,2011,PL,0,,,,,
1kmN3060E4923,7,PL,A,2011,PL,0,,,,,
1kmN3064E4923,240,PL,A,2011,PL,0,,,,0,
1kmN3066E4923,61,PL,A,2011,PL,0,,,,,
1kmN3067E4923,3,PL,A,2011,PL,0,,,,,
1kmN3068E4923,115,PL,A,2011,PL,0,,,,,
1kmN3071E4923,178,PL,A,2011,PL,0,,1,,,0
1kmN3072E4923,72,PL,A,2011,PL,0,,1,,,0
1kmN3073E4923,129,PL,A,2011,PL,0,,,,,
1kmN3074E4923,48,PL,A,2011,PL,0,,,,,
